5746,1,383,0,0,2,5
5747,0,355,1,1,7,3
5748,0,354,0,1,5,7
5749,1,383,0,0,2,5
5750,0,355,1,1,7,3
5751,0,354,0,1,5,7
5752,1,385,1,1,2,7
5753,0,353,0,0,2,3
5754,0,355,1,1,5,1
5755,1,384,0,1,3,7
5756,0,355,1,1,2,5
5757,1,383,0,0,7,3
5758,0,354,0,1,5,7
5759,0,355,1,1,2,5
5760,1,385,1,1,7,5
5761,0,353,0,0,7,1
5762,0,354,0,1,3,5
5763,1,385,1,1,7,5
5764,0,355,1,1,7,3
5765,1,383,0,0,5,1
5766,0,354,0,1,3,5
5767,0,355,1,1,7,3
5768,1,383,0,0,5,1
5769,0,354,0,1,3,5
5770,0,355,1,1,7,3
5771,1,385,1,1,5,3
5772,0,354,0,1,5,7
5773,0,353,0,0,2,3
5774,1,385,1,1,5,3
5775,0,354,0,1,5,7
5776,1,385,1,1,2,7
5777,0,353,0,0,2,3
5778,0,354,0,1,5,7
5779,1,385,1,1,2,7
5780,0,355,1,1,2,5
5781,0,353,0,0,7,1
5782,1,384,0,1,3,7
5783,0,355,1,1,2,5
5784,1,383,0,0,7,3
5785,0,355,1,1,5,1
5786,0,354,0,1,3,5
5787,1,385,1,1,7,5
5788,0,355,1,1,7,3
5789,0,354,0,1,5,7
5790,1,383,0,0,2,5
5791,0,355,1,1,7,3
5792,0,354,0,1,5,7
5793,1,383,0,0,2,5
5794,0,355,1,1,7,3
5795,1,385,1,1,5,3
5796,0,354,0,1,5,7
5797,0,353,0,0,2,3
5798,1,385,1,1,5,3
5799,0,354,0,1,5,7
5800,0,355,1,1,2,5
5801,1,383,0,0,7,3
5802,0,354,0,1,5,7
5803,1,385,1,1,2,7
5804,0,353,0,0,2,3
5805,0,355,1,1,5,1
5806,1,384,0,1,3,7
5807,0,355,1,1,2,5
5808,0,353,0,0,7,1
5809,1,384,0,1,3,7
5810,0,355,1,1,2,5
5811,0,355,1,1,7,3
5812,1,383,0,0,5,1
5813,0,354,0,1,3,5
5814,1,385,1,1,7,5
5815,0,355,1,1,7,3
5816,0,354,0,1,5,7
5817,1,383,0,0,2,5
5818,0,355,1,1,7,3
5819,0,354,0,1,5,7
5820,1,383,0,0,2,5
5821,0,355,1,1,7,3
5822,1,385,1,1,5,3
5823,0,354,0,1,5,7
5824,0,353,0,0,2,3
5825,1,385,1,1,5,3
5826,0,354,0,1,5,7
5827,0,355,1,1,2,5
5828,1,383,0,0,7,3
5829,0,354,0,1,5,7
5830,0,355,1,1,2,5
5831,1,383,0,0,7,3
5832,0,355,1,1,5,1
5833,1,384,0,1,3,7
5834,0,355,1,1,2,5
5835,0,353,0,0,7,1
5836,1,384,0,1,3,7
5837,0,355,1,1,2,5
5838,0,355,1,1,7,3
5839,1,383,0,0,5,1
5840,0,354,0,1,3,5
5841,1,385,1,1,7,5
5842,0,355,1,1,7,3
5843,0,354,0,1,5,7
5844,1,383,0,0,2,5
5845,0,355,1,1,7,3
5846,0,354,0,1,5,7
5847,1,383,0,0,2,5
5848,0,355,1,1,7,3
5849,0,354,0,1,5,7
5850,1,385,1,1,2,7
5851,0,353,0,0,2,3
5852,1,385,1,1,5,3
5853,0,354,0,1,5,7
5854,0,355,1,1,2,5
5855,1,383,0,0,7,3
5856,0,354,0,1,5,7
5857,0,355,1,1,2,5
5858,1,385,1,1,7,5
5859,0,353,0,0,7,1
5860,1,384,0,1,3,7
5861,0,355,1,1,2,5
5862,0,355,1,1,7,3
5863,1,383,0,0,5,1
5864,0,354,0,1,3,5
5865,0,355,1,1,7,3
5866,1,385,1,1,5,3
5867,0,354,0,1,5,7
5868,0,353,0,0,2,3
5869,1,385,1,1,5,3
5870,0,354,0,1,5,7
5871,1,383,0,0,2,5
5872,0,355,1,1,7,3
5873,0,354,0,1,5,7
5874,1,385,1,1,2,7
5875,0,353,0,0,2,3
5876,0,354,0,1,5,7
5877,1,385,1,1,2,7
5878,0,355,1,1,2,5
5879,1,383,0,0,7,3
5880,0,354,0,1,5,7
5881,0,355,1,1,2,5
5882,1,383,0,0,7,3
5883,0,355,1,1,5,1
5884,0,354,0,1,3,5
5885,1,385,1,1,7,5
5886,0,355,1,1,7,3
5887,0,354,0,1,5,7
5888,1,383,0,0,2,5
5889,0,355,1,1,7,3
5890,1,383,0,0,5,1
5891,0,354,0,1,3,5
5892,0,355,1,1,7,3
5893,1,385,1,1,5,3
5894,0,354,0,1,5,7
5895,0,353,0,0,2,3
5896,1,385,1,1,5,3
5897,0,354,0,1,5,7
5898,1,383,0,0,2,5
5899,0,355,1,1,7,3
5900,0,354,0,1,5,7
5901,1,385,1,1,2,7
5902,0,353,0,0,2,3
5903,0,355,1,1,5,1
5904,1,384,0,1,3,7
5905,0,355,1,1,2,5
5906,0,353,0,0,7,1
5907,1,384,0,1,3,7
5908,0,355,1,1,2,5
5909,1,383,0,0,7,3
5910,0,355,1,1,5,1
5911,0,354,0,1,3,5
5912,1,385,1,1,7,5
5913,0,355,1,1,7,3
5914,0,354,0,1,5,7
5915,1,383,0,0,2,5
5916,0,355,1,1,7,3
5917,1,383,0,0,5,1
5918,0,354,0,1,3,5
5919,0,355,1,1,7,3
5920,1,385,1,1,5,3
5921,0,354,0,1,5,7
5922,0,353,0,0,2,3
5923,1,385,1,1,5,3
5924,0,354,0,1,5,7
5925,0,355,1,1,2,5
5926,1,383,0,0,7,3
5927,0,354,0,1,5,7
5928,1,385,1,1,2,7
5929,0,353,0,0,2,3
5930,0,355,1,1,5,1
5931,1,384,0,1,3,7
5932,0,355,1,1,2,5
5933,0,353,0,0,7,1
5934,1,384,0,1,3,7
5935,0,355,1,1,2,5
5936,1,385,1,1,7,5
5937,0,353,0,0,7,1
5938,0,354,0,1,3,5
5939,1,385,1,1,7,5
5940,0,355,1,1,7,3
5941,0,354,0,1,5,7
5942,1,383,0,0,2,5
5943,0,355,1,1,7,3
5944,0,354,0,1,5,7
5945,1,385,1,1,2,7
5946,0,353,0,0,2,3
5947,1,385,1,1,5,3
5948,0,354,0,1,5,7
5949,0,355,1,1,2,5
5950,1,383,0,0,7,3
5951,0,354,0,1,5,7
5952,0,355,1,1,2,5
5953,1,383,0,0,7,3
5954,0,354,0,1,5,7
5955,1,385,1,1,2,7
5956,0,355,1,1,2,5
5957,0,353,0,0,7,1
5958,1,384,0,1,3,7
5959,0,355,1,1,2,5
5960,0,355,1,1,7,3
5961,1,383,0,0,5,1
5962,0,354,0,1,3,5
5963,0,355,1,1,7,3
5964,1,385,1,1,5,3
5965,0,354,0,1,5,7
5966,1,383,0,0,2,5
5967,0,355,1,1,7,3
5968,0,354,0,1,5,7
5969,1,383,0,0,2,5
5970,0,355,1,1,7,3
5971,0,354,0,1,5,7
5972,1,385,1,1,2,7
5973,0,353,0,0,2,3
5974,1,385,1,1,5,3
5975,0,354,0,1,5,7
5976,0,355,1,1,2,5
5977,1,383,0,0,7,3
5978,0,354,0,1,5,7
5979,0,355,1,1,2,5
5980,1,383,0,0,7,3
5981,0,355,1,1,5,1
5982,0,354,0,1,3,5
5983,1,385,1,1,7,5
5984,0,353,0,0,7,1
5985,1,384,0,1,3,7
5986,0,355,1,1,2,5
5987,0,355,1,1,7,3
5988,1,383,0,0,5,1
5989,0,354,0,1,3,5
5990,0,355,1,1,7,3
5991,1,385,1,1,5,3
5992,0,354,0,1,5,7
5993,1,383,0,0,2,5
5994,0,355,1,1,7,3
5995,0,354,0,1,5,7
5996,1,383,0,0,2,5
5997,0,355,1,1,7,3
5998,0,354,0,1,5,7
5999,1,385,1,1,2,7
